3  4958.13	2.224928e+00	1.164981e-01	6.929028e+01	2.203285e+00	9.733705e-01	9.467777e-02	1.356394e-01	1.574617e+02	6.115433e+01	1.321361e+02	4.450151e+00	1.877743e+01	5.756493e+00	9.446450e-01	4.278076e-01	4.508976e-01	1.000414e+00	9.954398e-01	7.862231e-01	5.282911e-03	3.708898e-01	1.137576e+01	7.109246e-01	2.477881e-01	3.092535e+00	1.374179e+01	8.352284e-01	
2  4939.47	2.224305e+00	1.181192e-01	6.863611e+01	2.240994e+00	9.681269e-01	1.015505e-01	1.355712e-01	1.775238e+02	5.741498e+01	1.115726e+02	6.716391e+00	2.554775e+01	5.132103e+00	9.054285e-01	5.316113e-01	5.146453e-01	1.000248e+00	9.954932e-01	7.899829e-01	9.757070e-01	6.583681e-01	1.199765e+01	7.019602e-01	2.477854e-01	3.109505e+00	1.375526e+01	8.463753e-01	
5  4929.23	2.228766e+00	1.171930e-01	6.903790e+01	2.207451e+00	9.691924e-01	9.413216e-02	1.584992e-01	1.931849e+02	6.628035e+01	1.138791e+02	4.377763e+00	2.394694e+01	6.433493e+00	8.459646e-01	6.010538e-01	5.079651e-01	1.000199e+00	9.937866e-01	9.153899e-01	1.346469e+00	9.142324e-01	1.133365e+01	7.072688e-01	2.478045e-01	3.094423e+00	1.374390e+01	8.369089e-01	
5  4928.58	2.198443e+00	1.181067e-01	6.850826e+01	2.209707e+00	9.653553e-01	9.429703e-02	1.599320e-01	2.453316e+02	7.759469e+01	1.065700e+02	3.304995e+00	3.033629e+01	3.492326e+00	7.311693e-01	6.919870e-01	5.591566e-01	1.000354e+00	9.945576e-01	6.675125e-01	1.348377e+00	1.105448e+00	1.147122e+01	7.014242e-01	2.476743e-01	3.095445e+00	1.377401e+01	8.409371e-01	
2  4927.16	2.202214e+00	1.182649e-01	6.844087e+01	2.235814e+00	9.633067e-01	9.970226e-02	1.589810e-01	2.461533e+02	7.612740e+01	9.752848e+01	2.462778e+00	3.399451e+01	2.953779e+00	8.379408e-01	5.634059e-01	6.387456e-01	1.000187e+00	9.945270e-01	5.853389e-01	1.791796e+00	1.199527e+00	1.192184e+01	7.004177e-01	2.476905e-01	3.107190e+00	1.377462e+01	8.454879e-01	
10  4927.03	2.207039e+00	1.179715e-01	6.863869e+01	2.209927e+00	9.627632e-01	9.418690e-02	1.299871e-01	2.610408e+02	6.731227e+01	9.445888e+01	4.312877e+00	3.521547e+01	4.211513e+00	9.049709e-01	5.383703e-01	6.719942e-01	1.000071e+00	9.953121e-01	7.796069e-01	3.175481e+00	1.209387e+00	1.143051e+01	7.026626e-01	2.477113e-01	3.095544e+00	1.376380e+01	8.393011e-01	
4  4929.02	2.228544e+00	1.170683e-01	6.905593e+01	2.228244e+00	9.654596e-01	1.000225e-01	1.278667e-01	2.687090e+02	6.158478e+01	9.006723e+01	2.232989e+00	3.562626e+01	5.193504e+00	8.769954e-01	6.354586e-01	6.508366e-01	1.000230e+00	9.948930e-01	5.191407e-01	4.277132e+00	1.190060e+00	1.182639e+01	7.076877e-01	2.478036e-01	3.103799e+00	1.374579e+01	8.391304e-01	
3  4927.27	2.222301e+00	1.168099e-01	6.909052e+01	2.273747e+00	9.673451e-01	1.104824e-01	1.383706e-01	2.478594e+02	6.691473e+01	9.033918e+01	3.354756e+00	3.337239e+01	4.768439e+00	8.236413e-01	7.213874e-01	5.414208e-01	1.000450e+00	9.957956e-01	6.796201e-01	3.599648e+00	1.307283e+00	1.269955e+01	7.086524e-01	2.477768e-01	3.124014e+00	1.375155e+01	8.475874e-01	
16  4928.1	2.223974e+00	1.181681e-01	6.862086e+01	2.269775e+00	9.630648e-01	1.072275e-01	1.048800e-01	2.200258e+02	5.634428e+01	9.392005e+01	4.372117e+00	2.830055e+01	4.753853e+00	8.164656e-01	6.368629e-01	4.259773e-01	1.000252e+00	9.961624e-01	7.412577e-01	5.569784e+00	1.161139e+00	1.246793e+01	7.017308e-01	2.477840e-01	3.122266e+00	1.375536e+01	8.503531e-01	
28  4926.42	2.245921e+00	1.169703e-01	6.922585e+01	2.223992e+00	9.651195e-01	9.748418e-02	1.245528e-01	2.321483e+02	6.364385e+01	1.011037e+02	3.900328e+00	2.684944e+01	1.367170e+00	8.100497e-01	3.850073e-01	4.374671e-01	1.000236e+00	9.961254e-01	8.407302e-01	4.588720e+00	1.026559e+00	1.155405e+01	7.089628e-01	2.478777e-01	3.101889e+00	1.372875e+01	8.370444e-01	
3  4928.02	2.232422e+00	1.165309e-01	6.926597e+01	2.177260e+00	9.646240e-01	8.869550e-02	1.336371e-01	2.499012e+02	7.146270e+01	9.376661e+01	2.048520e+00	3.159026e+01	1.984779e+00	8.542115e-01	4.359931e-01	5.551484e-01	1.000335e+00	9.952410e-01	8.437879e-01	5.073548e+00	1.178279e+00	1.083951e+01	7.104971e-01	2.478201e-01	3.080652e+00	1.374097e+01	8.270692e-01	
16  4927.82	2.227578e+00	1.164537e-01	6.931598e+01	2.175882e+00	9.659191e-01	8.836102e-02	1.423945e-01	2.770029e+02	6.412167e+01	8.538126e+01	6.748833e+00	3.512800e+01	2.757384e+00	8.625727e-01	5.159854e-01	6.419744e-01	1.000478e+00	9.961594e-01	9.377405e-01	6.252588e+00	1.449703e+00	1.082442e+01	7.111762e-01	2.477994e-01	3.080019e+00	1.374002e+01	8.273415e-01	
6  4927.29	2.228850e+00	1.178767e-01	6.888509e+01	2.192502e+00	9.632226e-01	9.022736e-02	1.371585e-01	2.375853e+02	5.678202e+01	8.505345e+01	9.449749e+00	3.618233e+01	5.369253e+00	8.350975e-01	6.795903e-01	5.508123e-01	1.000406e+00	9.955490e-01	9.213449e-01	5.841281e+00	1.517262e+00	1.101639e+01	7.045259e-01	2.478049e-01	3.087628e+00	1.373865e+01	8.348684e-01	
15  4926.54	2.226195e+00	1.184384e-01	6.854002e+01	2.180266e+00	9.637254e-01	8.697693e-02	1.364818e-01	2.384946e+02	6.357785e+01	9.143091e+01	6.252323e+00	3.421506e+01	4.920523e+00	8.181814e-01	7.296988e-01	5.294322e-01	1.000550e+00	9.960729e-01	8.720358e-01	4.959563e+00	1.454486e+00	1.075528e+01	7.004041e-01	2.477935e-01	3.082032e+00	1.375453e+01	8.344542e-01	
2  4926.91	2.237653e+00	1.169651e-01	6.913197e+01	2.167676e+00	9.666217e-01	8.577700e-02	1.914454e-01	2.606615e+02	6.350415e+01	1.010108e+02	5.070792e+00	2.848086e+01	3.486486e+00	8.393049e-01	5.327730e-01	4.887373e-01	1.000256e+00	9.972847e-01	8.268956e-01	5.415053e+00	1.653843e+00	1.057980e+01	7.083558e-01	2.478425e-01	3.076241e+00	1.373942e+01	8.271302e-01	
